company_name,addr,link,start
暨南大学,广州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20428.html,11月08日
恒伦口腔医疗科技集团股份有限公司,太原,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20413.html,09月27日
歌尔股份有限公司,潍坊,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19844.html,04月30日
中建五局第三建设有限公司,长沙,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/2121.html,02月19日
广西海洋科学院（广西红树林研究中心）,南宁,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20391.html,10月29日
上汽通用五菱汽车股份有限公司,柳州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/5272.html,05月28日
中建七局土木工程公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/15512.html,03月02日
中国科学院国家授时中心,西安,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19948.html,09月09日
中船电机科技股份有限公司太原分公司,太原,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20297.html,08月27日
国家智能设计与数控技术创新中心,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19882.html,05月13日
中国机械总院集团哈尔滨焊接研究所有限公司,哈尔滨,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20258.html,08月14日
江苏国泰汉帛实业发展有限公司,苏州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20169.html,06月20日
江阴苏利化学股份有限公司,无锡,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20233.html,07月31日
宁波德业科技股份有限公司,宁波,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/7483.html,11月17日
重庆大学,重庆,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/2837.html,03月03日
浙江省激光智能装备技术创新中心,温州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20207.html,07月15日
