0,1,2,3,4,5,6,7
Java开发工程师,          上海胜蓝软件技术服务有限公司        ,8千-1.1万,Java|民营|20-99人|计算机软件,上海·虹口·北外滩,无经验,本科,http://www.zhaopin.com/jobdetail/CC813553990J40510579701.htm
Java开发工程师,          北京计算机技术及应用研究所        ,7千-1.2万,事业单位|1000-9999人|计算机硬件,北京·海淀·永定路,1-3年,本科,http://www.zhaopin.com/jobdetail/CC120834970J40666242902.htm
Java开发工程师,          三零卫士        ,8千-1.5万,JavaScript|Python|国企|500-999人|IT服务,成都·武侯·肖家河,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000580530J40833461104.htm
Java开发工程师,          汉询软件        ,1万-1.8万,JavaScript|Spring|Mybatis|MySQL|SQLServer|民营|20-99人|计算机软件,郑州·中原·航海西路,5-10年,本科,http://www.zhaopin.com/jobdetail/CC340786110J40522995502.htm
java开发工程师,          江苏华瞻信息科技有限公司        ,5千-1万,JavaScript|民营|100-299人|电子/半导体/集成电路,南京·江宁·淳化,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1338020740J40465574304.htm
高级Java开发工程师,          济南海文尚投软件有限公司        ,1万-2万·13薪,Java|民营|20-99人|计算机软件,济南·历下·舜华路,5-10年,本科,http://www.zhaopin.com/jobdetail/CC681827820J40161577603.htm
Java开发工程师(中铁司库),          郑州乐驰软件科技有限公司        ,1万-1.6万,Java|Mybatis|SPRINGBOOT|MySQL|Oracle|SPRINGCLOUD|Redis|司库|民营|20-99人|计算机软件,北京·丰台·看丹,3-5年,大专,http://www.zhaopin.com/jobdetail/CC445384710J40682241708.htm
RJ-Java开发工程师（优秀应届生岗）,          北京万维盈创科技发展有限公司        ,6千-8千·13薪,SpringBoot|SpringCloud|全栈开发|后端开发|前端开发|MySQL|Oracle|MongoDB|民营|500-999人|环保,西安·雁塔,无经验,本科,http://www.zhaopin.com/jobdetail/CC136892080J40677797012.htm
Java开发工程师（线上视频面试）,          软通动力信息技术(集团)股份有限公司        ,3千-4千,Spring|MySQL|Java|SPRING CLOUD|民营|10000人以上|互联网,南宁·西乡塘·心圩,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40553869716.htm
Java开发工程师（航天）,          郑州乐驰软件科技有限公司        ,9千-1.6万,Java|Spring|MySQL|SPRINGBOOT|Redis|IOTDB|Docker|Kafka|RabbitMQ|linux|民营|20-99人|计算机软件,北京·海淀·中关村,3-5年,大专,http://www.zhaopin.com/jobdetail/CC445384710J40661222108.htm
【2024届】Java开发工程师,          哈尔滨彩网科技有限公司        ,6千-1.2万,C++|C|MySQL|PostgreSQL|Oracle|民营|100-299人|计算机软件,哈尔滨·南岗·跃进,经验不限,本科,http://www.zhaopin.com/jobdetail/CCL1477965250J40479111913.htm
JAVA开发工程师,          成都天用唯勤科技股份有限公司厦门分公司        ,1.1万-1.8万,Spring|Oracle|Mybatis|JavaScript|MySQL|Tomcat|股份制企业|1000-9999人|IT服务,乌鲁木齐·天山区·新华北路街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC572391820J40685950807.htm
Java开发工程师,          南昌中展数智科技有限公司        ,7千-1.4万,JVM|K8s|Spring|SPRINGBOOT|SPRINGCLOUD|Kafka|Redis|WebSocket|HTTP协议|MQTT协议|合资|1000-9999人|计算机软件,南京·雨花台·雨花,1-3年,本科,http://www.zhaopin.com/jobdetail/CC132566810J40579195906.htm
对日java开发工程师,          杭州优灿科技有限公司        ,1.1万-2万,Java|合资|500-999人|计算机软件,杭州·滨江·浦沿,3-5年,学历不限,http://www.zhaopin.com/jobdetail/CC272317033J00226200408.htm
JAVA开发工程师,          重庆德飞检验检测有限公司        ,6千-1万,JavaScript|Python|C++|Spring|Hibernate|MySQL|PostgreSQL|Oracle|Struts|民营|300-499人|专业技术服务,重庆·北碚·水土,经验不限,本科,http://www.zhaopin.com/jobdetail/CC390922630J40634332810.htm
Java开发工程师,          软通动力信息技术(集团)股份有限公司        ,8千-1.5万,MySQL|Spring|Mybatis|Redis|Oracle|JAVA相关的设计模式|GAUSSDB|SQL优化经验|民营|10000人以上|互联网,武汉·江夏·豹澥,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40630384516.htm
Java开发工程师,          中软国际        ,面议,Java|JavaWeb|Spring|JavaScript|MySQL|上市公司|10000人以上|计算机软件,西安·长安·韦曲,1-3年,本科,http://www.zhaopin.com/jobdetail/CC508620120J40183100912.htm
java开发工程师（对日项目）,          南京迈特望科技股份有限公司        ,9千-1.4万,C|Python|Spring|对日项目|股份制企业|1000-9999人|计算机软件,南京·雨花台·雨花,3-5年,大专,http://www.zhaopin.com/jobdetail/CC142971790J40492105011.htm
java开发工程师（毕节）,          中科软科技股份有限公司        ,8千-1.5万,JavaScript|Spring|MySQL|Oracle|股份制企业|1000-9999人|计算机软件,毕节·七星关区·碧阳街道,3-5年,大专,http://www.zhaopin.com/jobdetail/CC120160390J40627827516.htm
java开发工程师中级,          北京银信长远科技股份有限公司深圳分公司        ,1.1万-1.8万,JavaScript|Python|Spring|MySQL|上市公司|500-999人|计算机软件,杭州·滨江·长河,3-5年,本科,http://www.zhaopin.com/jobdetail/CC453344410J40591152916.htm
java开发工程师,          和壹科技        ,8千-1.3万,JavaScript|Spring|Mybatis|CSS|MySQL|Oracle|民营|100-299人|计算机软件,南昌·红谷滩·沙井,3-5年,本科,http://www.zhaopin.com/jobdetail/CC699068220J40676411012.htm
java开发工程师,          中电金信软件有限公司        ,1.1万-1.3万,JavaScript|Spring|Hibernate|Mybatis|MySQL|Oracle|MongoDB|国企|10000人以上|计算机软件,长沙·开福·四方坪,3-5年,本科,http://www.zhaopin.com/jobdetail/CC443657520J40651618709.htm
Java开发工程师,          中工城投建设集团有限公司        ,7千-1.2万,Java|JSP|Servlet|J2EE|后端开发|SQL|SpringBoot|SpringMVC|股份制企业|300-499人|房地产开发,郑州·金水·祭城路,1-3年,本科,http://www.zhaopin.com/jobdetail/CC874040710J40360753108.htm
Java开发工程师(J10113),          广之旅        ,7千-8千,Spring|国企|1000-9999人|旅游服务,广州·白云·棠景,1年以下,本科,http://www.zhaopin.com/jobdetail/CC136781110J40619741513.htm
Java开发工程师-五险一金-舜泰广场,          山东站站宝网络技术有限公司        ,5千-1万,Java|MySQL|Spring|后端开发|民营|20-99人|计算机软件,济南·历城·港沟,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1228868220J40628000704.htm
Java开发工程师,          山东纬横数据科技有限公司        ,7千-1万,后端开发|移动开发|大数据开发|MySQL|Oracle|WEB开发|服务器开发|SpringBoot|民营|20-99人|计算机软件,烟台·莱山·马山,1-3年,本科,http://www.zhaopin.com/jobdetail/CC558431080J40371825315.htm
java开发工程师,          软通动力信息技术(集团)股份有限公司        ,8千-1.5万,Java|Maven|DDD|MySQL|高并发|IDEA|微服务架构|LIUNX|民营|10000人以上|互联网,南京·江宁·淳化,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40494322316.htm
JAVA开发工程师,          广州市新文溯科技有限公司        ,7千-1.4万·13薪,Java|软件开发|企业软件应用|民营|20-99人|计算机软件,广州·番禺·小谷围,无经验,本科,http://www.zhaopin.com/jobdetail/CC139506241J00480158501.htm
java开发工程师（宁波）,          北京神州数字科技有限公司        ,1万-1.4万,SpringBoot|SpringCloud|上市公司|10000人以上|计算机软件,宁波·江北·前江,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1280870410J40402494806.htm
Java开发工程师,          软通动力信息技术(集团)股份有限公司        ,8千-1.3万,Java|JAVA EE|MySQL|民营|10000人以上|互联网,南京·江宁·淳化,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40560423916.htm
初级Java开发工程师,          广州市新文溯科技有限公司        ,7千-1万·13薪,Java|民营|20-99人|计算机软件,广州·番禺·小谷围,经验不限,本科,http://www.zhaopin.com/jobdetail/CC139506241J90250044000.htm
java开发工程师,          四川金熊猫新媒体有限公司        ,9千-1.2万,Spring|MySQL|JavaScript|国企|100-299人|广播/影视,成都·武侯·桂溪,3-5年,本科,http://www.zhaopin.com/jobdetail/CC698572320J40662512112.htm
Java开发工程师,          南京迈特望科技股份有限公司        ,1万-1.7万,Spring|JavaScript|MySQL|Oracle|Redis|股份制企业|1000-9999人|计算机软件,长沙·岳麓·天顶,5-10年,本科,http://www.zhaopin.com/jobdetail/CC142971790J40662564211.htm
java开发工程师,          软通动力信息技术(集团)股份有限公司        ,1万-1.6万,SPRINGCLOUD|民营|10000人以上|互联网,武汉·洪山·花山,3-5年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40612139216.htm
Java开发工程师+双休+年终奖,          上海领时人力资源服务有限公司        ,1万-2万·13薪,Spring|MySQL|民营|10000人以上|银行,广州·白云·三元里,3-5年,本科,http://www.zhaopin.com/jobdetail/CC551229530J40653250913.htm
java开发工程师中级,          中科软科技股份有限公司        ,1万-1.6万,股份制企业|1000-9999人|计算机软件,北京·东城·和平里,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120160390J40605601116.htm
Java开发工程师（总部）,          山东莱易信息产业股份公司        ,8千-1.2万,JavaScript|Spring|MySQL|Vue|Oracle|Mybatis|股份制企业|100-299人|计算机软件,济南·历下·舜华路,3-5年,本科,http://www.zhaopin.com/jobdetail/CC552082220J40595682902.htm
Java开发工程师,          南昌中展数智科技有限公司        ,9千-1.4万,SPRINGBOOT|SPRINGCLOUD|SQL|linux|微服务开发|合资|1000-9999人|计算机软件,长沙·岳麓·天顶,3-5年,本科,http://www.zhaopin.com/jobdetail/CC132566810J40540503606.htm
java开发工程师（对日）,          南京迈特望科技股份有限公司        ,1.1万-1.8万,股份制企业|1000-9999人|计算机软件,南京·雨花台·铁心桥,3-5年,大专,http://www.zhaopin.com/jobdetail/CC142971790J40492350711.htm
Java开发工程师,          软通动力信息技术(集团)股份有限公司        ,1.1万-1.7万,Spring|前端开发|后端开发|Java|民营|10000人以上|互联网,西安·雁塔·鱼化寨,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40579485916.htm
java开发工程师（中级）武汉,          中科软科技股份有限公司        ,1万-1.5万,Spring|Mybatis|JavaScript|MySQL|股份制企业|1000-9999人|计算机软件,武汉·江岸,3-5年,本科,http://www.zhaopin.com/jobdetail/CC120160390J40627599216.htm
Java开发工程师-银行项目-长春,          厦门至恒融兴信息技术股份有限公司福州分公司        ,1万-1.5万,Spring|MySQL|100-299人|计算机软件,长春·南关·临河,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1328861530J40646807313.htm
资深java开发工程师（统本理工-线上面试）,          软通动力信息技术(集团)股份有限公司        ,1万-1.5万,Spring|MySQL|民营|10000人以上|互联网,郑州·金水·祭城路,5-10年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40632956216.htm
java开发工程师,          深圳智蛋科技有限公司        ,1万-2万,SPRINGBOOT|民营|100-299人|互联网,西安·雁塔,3-5年,本科,http://www.zhaopin.com/jobdetail/CCL1211142100J40612226606.htm
Java开发工程师,          南京迈特望科技股份有限公司        ,1.1万-1.7万,JavaScript|Spring|股份制企业|1000-9999人|计算机软件,长沙·岳麓·天顶,5-10年,本科,http://www.zhaopin.com/jobdetail/CC142971790J40656809711.htm
Java开发工程师,          郑州越皓网络科技有限公司        ,6千-8千,JavaScript|Python|C++|Spring|MySQL|Mybatis|SQLServer|其它|20-99人|人工智能,郑州·中原·梧桐,无经验,大专,http://www.zhaopin.com/jobdetail/CCL1411727170J40596606215.htm
Java开发工程师,          成都连科软件有限公司        ,7千-1.1万,后端开发|大数据开发|Hadoop|SpringBoot|SpringCloud|SpringMVC|民营|20-99人|计算机软件,成都·武侯·桂溪,1-3年,大专,http://www.zhaopin.com/jobdetail/CC199943410J40329053607.htm
java开发工程师中级,          北京展云科技有限公司        ,1万-1.5万,SPRINGBOOT|Spring|ETL|数据治理|民营|20-99人|计算机软件,北京·东城·北新桥,3-5年,本科,http://www.zhaopin.com/jobdetail/CC483343630J40777170415.htm
JAVA开发工程师,          上海蓬勃实业有限公司        ,6千-1万,J2EE|Struts|Spring|Java|民营|20-99人|计算机软件,上海·宝山·吴淞,1-3年,大专,http://www.zhaopin.com/jobdetail/CC538039430J40117126107.htm
初级java开发工程师,          青岛九和实业有限公司        ,8千-1万,Spring|MySQL|股份制企业|20-99人|运营商/增值服务,青岛·崂山·中韩,1-3年,本科,http://www.zhaopin.com/jobdetail/CC284240010J40636102416.htm
